customerID,churn_probability,churn_prediction,risk_level,tenure,Contract,MonthlyCharges,TotalCharges,InternetService,OnlineSecurity,TechSupport,PaymentMethod
1934-SJVJK,1.0,Yes,Critical Risk,1,Month-to-month,20.15,20.15,No,No internet service,No internet service,Mailed check
6424-ELEYH,1.0,Yes,Critical Risk,3,Month-to-month,74.75,229.5,Fiber optic,No,No,Credit card (automatic)
0375-HVGXO,1.0,Yes,Critical Risk,1,Month-to-month,34.7,34.7,DSL,No,No,Electronic check
3776-EKTKM,1.0,Yes,Critical Risk,1,Month-to-month,36.45,36.45,DSL,No,No,Electronic check
9497-QCMMS,1.0,Yes,Critical Risk,1,Month-to-month,93.55,93.55,Fiber optic,No,No,Electronic check
8000-REIQB,1.0,Yes,Critical Risk,1,Month-to-month,69.95,69.95,Fiber optic,No,No,Electronic check
8634-MPHTR,1.0,Yes,Critical Risk,47,Month-to-month,100.05,4871.05,Fiber optic,No,No,Electronic check
3068-OMWZA,1.0,Yes,Critical Risk,1,Month-to-month,88.8,88.8,Fiber optic,No,No,Electronic check
3049-SOLAY,1.0,Yes,Critical Risk,3,Month-to-month,95.2,292.85,Fiber optic,No,No,Electronic check
8058-INTPH,1.0,Yes,Critical Risk,1,Month-to-month,79.65,79.65,Fiber optic,No,No,Electronic check
8375-DKEBR,1.0,Yes,Critical Risk,1,Month-to-month,69.6,69.6,Fiber optic,No,No,Electronic check
6521-YYTYI,1.0,Yes,Critical Risk,1,Month-to-month,93.3,93.3,Fiber optic,No,No,Electronic check
2720-WGKHP,1.0,Yes,Critical Risk,2,Month-to-month,94.0,181.7,Fiber optic,No,No,Electronic check
0107-YHINA,1.0,Yes,Critical Risk,1,Month-to-month,99.75,99.75,Fiber optic,No,No,Electronic check
9804-ICWBG,1.0,Yes,Critical Risk,1,Month-to-month,69.9,69.9,Fiber optic,No,No,Electronic check
9681-OXGVC,1.0,Yes,Critical Risk,5,Month-to-month,100.5,514,Fiber optic,No,No,Electronic check
6892-EZDTG,1.0,Yes,Critical Risk,4,Month-to-month,91.65,365.4,Fiber optic,No,No,Electronic check
8740-CRYFY,1.0,Yes,Critical Risk,1,Month-to-month,78.95,78.95,Fiber optic,No,No,Electronic check
7330-WZLNC,1.0,Yes,Critical Risk,5,Month-to-month,90.8,455.5,Fiber optic,No,No,Electronic check
9300-AGZNL,1.0,Yes,Critical Risk,1,Month-to-month,94.0,94,Fiber optic,No,No,Electronic check
3428-XZMAZ,1.0,Yes,Critical Risk,1,Month-to-month,69.35,69.35,Fiber optic,No,No,Electronic check
1963-SVUCV,1.0,Yes,Critical Risk,1,Month-to-month,45.3,45.3,DSL,No,No,Electronic check
7254-IQWOZ,1.0,Yes,Critical Risk,1,Month-to-month,69.65,69.65,Fiber optic,No,No,Electronic check
3551-HUAZH,1.0,Yes,Critical Risk,1,Month-to-month,74.4,74.4,Fiber optic,No,No,Electronic check
9728-FTTVZ,1.0,Yes,Critical Risk,1,Month-to-month,69.2,69.2,Fiber optic,No,No,Electronic check
3276-HDUEG,0.9983,Yes,Critical Risk,1,Month-to-month,75.05,75.05,Fiber optic,No,No,Mailed check
5277-ZLOOR,0.995,Yes,Critical Risk,2,Month-to-month,85.55,187.45,Fiber optic,No,No,Electronic check
3488-PGMQJ,0.995,Yes,Critical Risk,8,Month-to-month,74.5,606.55,Fiber optic,No,No,Electronic check
5383-MMTWC,0.995,Yes,Critical Risk,8,Month-to-month,84.0,613.4,Fiber optic,No,No,Electronic check
2135-RXIHG,0.995,Yes,Critical Risk,1,Month-to-month,45.65,45.65,DSL,No,No,Electronic check
4550-EVXNY,0.995,Yes,Critical Risk,1,Month-to-month,69.65,69.65,Fiber optic,No,No,Electronic check
6358-LYNGM,0.995,Yes,Critical Risk,1,Month-to-month,74.9,74.9,Fiber optic,No,No,Electronic check
7294-TMAOP,0.995,Yes,Critical Risk,1,Month-to-month,90.55,90.55,Fiber optic,No,No,Electronic check
4548-SDBKE,0.995,Yes,Critical Risk,5,Month-to-month,85.2,474.8,Fiber optic,No,No,Electronic check
4822-RVYBB,0.995,Yes,Critical Risk,8,Month-to-month,100.6,819.4,Fiber optic,No,No,Electronic check
9185-TQCVP,0.995,Yes,Critical Risk,14,Month-to-month,85.15,1139.2,Fiber optic,No,No,Electronic check
2968-SSGAA,0.995,Yes,Critical Risk,10,Month-to-month,100.6,1060.2,Fiber optic,No,No,Electronic check
8042-JVNFH,0.995,Yes,Critical Risk,1,Month-to-month,71.35,71.35,Fiber optic,No,No,Mailed check
9415-DPEWS,0.995,Yes,Critical Risk,18,Month-to-month,88.35,1639.3,Fiber optic,No,Yes,Electronic check
7943-RQCHR,0.995,Yes,Critical Risk,9,Month-to-month,94.75,889.9,Fiber optic,No,No,Electronic check
5835-BEQEU,0.995,Yes,Critical Risk,3,Month-to-month,76.95,228.4,Fiber optic,No,No,Electronic check
9625-QSTYE,0.995,Yes,Critical Risk,13,Month-to-month,81.15,952.3,Fiber optic,No,No,Electronic check
0727-IWKVK,0.995,Yes,Critical Risk,9,Month-to-month,79.9,741.7,Fiber optic,No,No,Electronic check
7024-OHCCK,0.995,Yes,Critical Risk,2,Month-to-month,93.85,170.85,Fiber optic,No,No,Electronic check
4952-YSOGZ,0.995,Yes,Critical Risk,4,Month-to-month,85.95,381.3,Fiber optic,No,No,Electronic check
8062-YBDOE,0.995,Yes,Critical Risk,1,Month-to-month,69.65,69.65,Fiber optic,No,No,Electronic check
5244-IRFIH,0.995,Yes,Critical Risk,33,Month-to-month,94.5,3105.55,Fiber optic,No,No,Electronic check
0781-LKXBR,0.995,Yes,Critical Risk,9,Month-to-month,100.5,918.6,Fiber optic,No,No,Electronic check
7480-QNVZJ,0.995,Yes,Critical Risk,50,Month-to-month,95.7,4816.7,Fiber optic,No,No,Electronic check
0702-PGIBZ,0.995,Yes,Critical Risk,4,Month-to-month,101.7,364.55,Fiber optic,No,No,Electronic check
0822-GAVAP,0.995,Yes,Critical Risk,2,Month-to-month,34.7,62.25,DSL,No,No,Electronic check
1447-GIQMR,0.995,Yes,Critical Risk,1,Month-to-month,69.15,69.15,Fiber optic,No,No,Electronic check
7359-PTSXY,0.995,Yes,Critical Risk,1,Month-to-month,45.75,45.75,DSL,No,No,Electronic check
5797-APWZC,0.995,Yes,Critical Risk,1,Month-to-month,90.6,90.6,Fiber optic,No,No,Electronic check
9600-NAXZN,0.995,Yes,Critical Risk,43,Month-to-month,101.4,4528,Fiber optic,No,No,Electronic check
8931-GJJIQ,0.995,Yes,Critical Risk,9,Month-to-month,83.3,803.3,Fiber optic,No,No,Electronic check
4415-IJZTP,0.995,Yes,Critical Risk,1,Month-to-month,74.5,74.5,Fiber optic,No,No,Electronic check
9019-QVLZD,0.995,Yes,Critical Risk,1,Month-to-month,79.55,79.55,Fiber optic,No,No,Electronic check
1569-TTNYJ,0.995,Yes,Critical Risk,5,Month-to-month,78.75,412.1,Fiber optic,No,No,Electronic check
5539-TMZLF,0.995,Yes,Critical Risk,1,Month-to-month,69.75,69.75,Fiber optic,No,No,Electronic check
8414-MYSHR,0.995,Yes,Critical Risk,5,Month-to-month,91.4,449.75,Fiber optic,No,No,Electronic check
8992-JQYUN,0.995,Yes,Critical Risk,1,Month-to-month,50.35,50.35,DSL,No,No,Electronic check
9451-LPGOO,0.995,Yes,Critical Risk,7,Month-to-month,86.8,620.35,Fiber optic,No,No,Electronic check
6128-CZOMY,0.995,Yes,Critical Risk,1,Month-to-month,45.65,45.65,DSL,No,No,Electronic check
1723-HKXJQ,0.995,Yes,Critical Risk,42,Month-to-month,101.75,4273.45,Fiber optic,No,No,Electronic check
0334-GDDSO,0.995,Yes,Critical Risk,3,Month-to-month,81.35,233.7,Fiber optic,No,No,Electronic check
8945-GRKHX,0.995,Yes,Critical Risk,1,Month-to-month,78.65,78.65,Fiber optic,No,No,Electronic check
5275-SQEIZ,0.995,Yes,Critical Risk,1,Month-to-month,80.85,80.85,Fiber optic,No,No,Mailed check
6618-RYATB,0.995,Yes,Critical Risk,1,Month-to-month,79.55,79.55,Fiber optic,No,No,Mailed check
6210-KBBPI,0.995,Yes,Critical Risk,9,Month-to-month,99.45,919.4,Fiber optic,No,No,Credit card (automatic)
4510-HIMLV,0.995,Yes,Critical Risk,1,Month-to-month,69.8,69.8,Fiber optic,No,No,Electronic check
3811-VBYBZ,0.995,Yes,Critical Risk,7,Month-to-month,99.8,673.25,Fiber optic,No,No,Electronic check
4702-IOQDC,0.995,Yes,Critical Risk,1,Month-to-month,70.1,70.1,Fiber optic,No,No,Electronic check
4110-PFEUZ,0.995,Yes,Critical Risk,1,Month-to-month,69.55,69.55,Fiber optic,No,No,Mailed check
2514-GINMM,0.995,Yes,Critical Risk,1,Month-to-month,79.5,79.5,Fiber optic,No,No,Electronic check
0067-DKWBL,0.995,Yes,Critical Risk,2,Month-to-month,49.25,91.1,DSL,Yes,No,Electronic check
2004-OCQXK,0.995,Yes,Critical Risk,1,Month-to-month,81.95,81.95,Fiber optic,No,No,Electronic check
7274-RTAPZ,0.995,Yes,Critical Risk,1,Month-to-month,90.55,90.55,Fiber optic,No,No,Electronic check
0697-ZMSWS,0.995,Yes,Critical Risk,4,Month-to-month,85.65,338.9,Fiber optic,No,No,Electronic check
1918-ZBFQJ,0.995,Yes,Critical Risk,13,Month-to-month,79.25,1111.65,Fiber optic,No,No,Electronic check
1761-AEZZR,0.995,Yes,Critical Risk,1,Month-to-month,79.55,79.55,Fiber optic,No,No,Electronic check
8168-UQWWF,0.995,Yes,Critical Risk,11,Month-to-month,97.85,1105.4,Fiber optic,No,No,Bank transfer (automatic)
3744-ZRRDZ,0.995,Yes,Critical Risk,21,Month-to-month,82.35,1852.85,Fiber optic,No,No,Electronic check
0328-GRPMV,0.995,Yes,Critical Risk,1,Month-to-month,70.1,70.1,Fiber optic,No,No,Electronic check
0661-XEYAN,0.995,Yes,Critical Risk,1,Month-to-month,25.8,25.8,DSL,No,No,Mailed check
1157-BQCUW,0.995,Yes,Critical Risk,1,Month-to-month,74.95,74.95,Fiber optic,No,No,Electronic check
3138-BKYAV,0.995,Yes,Critical Risk,6,Month-to-month,85.35,489.45,Fiber optic,No,No,Electronic check
5834-ASPWA,0.995,Yes,Critical Risk,1,Month-to-month,75.45,75.45,Fiber optic,No,No,Electronic check
5378-IKEEG,0.995,Yes,Critical Risk,1,Month-to-month,35.75,35.75,DSL,No,No,Electronic check
8183-ONMXC,0.995,Yes,Critical Risk,2,Month-to-month,80.75,159.45,Fiber optic,No,No,Electronic check
0195-IESCP,0.995,Yes,Critical Risk,10,Month-to-month,85.25,855.3,Fiber optic,No,No,Electronic check
0742-NXBGR,0.995,Yes,Critical Risk,1,Month-to-month,82.3,82.3,Fiber optic,No,No,Electronic check
8473-VUVJN,0.995,Yes,Critical Risk,1,Month-to-month,73.65,73.65,Fiber optic,No,No,Electronic check
1496-GGSUK,0.995,Yes,Critical Risk,1,Month-to-month,25.7,25.7,DSL,No,No,Mailed check
6474-FVJLC,0.995,Yes,Critical Risk,2,Month-to-month,86.0,165.45,Fiber optic,No,No,Electronic check
9300-RENDD,0.99,Yes,Critical Risk,1,Month-to-month,79.95,79.95,Fiber optic,No,No,Electronic check
4228-ZGYUW,0.99,Yes,Critical Risk,4,Month-to-month,90.05,368.1,Fiber optic,No,No,Electronic check
7548-SEPYI,0.99,Yes,Critical Risk,5,Month-to-month,96.25,512.45,Fiber optic,No,No,Electronic check
1567-DSCIC,0.99,Yes,Critical Risk,8,Month-to-month,94.0,773.65,Fiber optic,No,No,Electronic check
8372-JUXUI,0.99,Yes,Critical Risk,1,Month-to-month,74.35,74.35,Fiber optic,No,No,Electronic check
4021-RQSNY,0.99,Yes,Critical Risk,29,Month-to-month,98.5,3004.15,Fiber optic,No,No,Electronic check
9787-XVQIU,0.99,Yes,Critical Risk,1,Month-to-month,75.3,75.3,Fiber optic,No,No,Electronic check
5356-RHIPP,0.99,Yes,Critical Risk,1,Month-to-month,20.2,20.2,No,No internet service,No internet service,Mailed check
3746-EUBYR,0.99,Yes,Critical Risk,1,Month-to-month,74.6,74.6,Fiber optic,No,No,Bank transfer (automatic)
2656-TABEH,0.99,Yes,Critical Risk,4,Month-to-month,100.2,420.2,Fiber optic,No,No,Electronic check
9306-CPCBC,0.99,Yes,Critical Risk,3,Month-to-month,74.25,210.3,Fiber optic,No,No,Electronic check
8348-HFYIV,0.99,Yes,Critical Risk,2,Month-to-month,49.25,90.35,DSL,No,No,Electronic check
5655-JSMZM,0.99,Yes,Critical Risk,49,Month-to-month,96.2,4718.25,Fiber optic,No,No,Electronic check
6432-TWQLB,0.99,Yes,Critical Risk,5,Month-to-month,85.4,401.1,Fiber optic,No,Yes,Electronic check
1624-NALOJ,0.99,Yes,Critical Risk,5,Month-to-month,89.8,502.6,Fiber optic,No,No,Electronic check
7526-BEZQB,0.99,Yes,Critical Risk,12,Month-to-month,96.05,1148.1,Fiber optic,No,No,Electronic check
8779-QRDMV,0.99,Yes,Critical Risk,1,Month-to-month,39.65,39.65,DSL,No,No,Electronic check
3318-OSATS,0.99,Yes,Critical Risk,35,Month-to-month,95.45,3474.05,Fiber optic,No,No,Electronic check
7120-RFMVS,0.99,Yes,Critical Risk,1,Month-to-month,84.5,84.5,Fiber optic,No,No,Electronic check
8185-UPYBR,0.99,Yes,Critical Risk,6,Month-to-month,75.5,438,Fiber optic,No,No,Electronic check
7488-MXJIV,0.99,Yes,Critical Risk,4,Month-to-month,85.65,321.65,Fiber optic,No,No,Electronic check
2205-YMZZJ,0.99,Yes,Critical Risk,7,Month-to-month,84.8,546.95,Fiber optic,No,No,Electronic check
0746-JTRFU,0.99,Yes,Critical Risk,2,Month-to-month,25.05,56.35,DSL,No,No,Electronic check
2012-NWRPA,0.99,Yes,Critical Risk,11,Month-to-month,99.55,1131.2,Fiber optic,No,No,Electronic check
4910-AQFFX,0.99,Yes,Critical Risk,9,Month-to-month,79.35,661.25,Fiber optic,No,No,Bank transfer (automatic)
5419-JPRRN,0.99,Yes,Critical Risk,1,Month-to-month,101.45,101.45,Fiber optic,No,No,Electronic check
3621-CEOVK,0.99,Yes,Critical Risk,14,Month-to-month,100.2,1369.8,Fiber optic,No,No,Electronic check
2612-RRIDN,0.99,Yes,Critical Risk,4,Month-to-month,81.0,340.85,Fiber optic,No,No,Electronic check
5884-GCYMI,0.99,Yes,Critical Risk,1,Month-to-month,69.4,69.4,Fiber optic,No,No,Mailed check
2362-IBOOY,0.99,Yes,Critical Risk,36,Month-to-month,84.75,3050.15,Fiber optic,No,No,Electronic check
5747-PMBSQ,0.99,Yes,Critical Risk,10,Month-to-month,92.5,934.1,Fiber optic,No,Yes,Mailed check
1820-TQVEV,0.99,Yes,Critical Risk,1,Month-to-month,69.55,69.55,Fiber optic,No,No,Electronic check
2082-CEFLT,0.99,Yes,Critical Risk,1,Month-to-month,45.6,45.6,DSL,No,No,Electronic check
7153-OANIO,0.99,Yes,Critical Risk,1,Month-to-month,69.95,69.95,Fiber optic,No,No,Electronic check
8752-STIVR,0.99,Yes,Critical Risk,4,Month-to-month,79.0,303.15,Fiber optic,No,No,Electronic check
8580-AECUZ,0.99,Yes,Critical Risk,1,Month-to-month,79.1,79.1,Fiber optic,No,No,Electronic check
1981-INRFU,0.99,Yes,Critical Risk,2,Month-to-month,79.75,164.5,Fiber optic,No,No,Electronic check
6101-IMRMM,0.99,Yes,Critical Risk,6,Month-to-month,94.5,575.45,Fiber optic,No,No,Mailed check
4795-KTRTH,0.99,Yes,Critical Risk,5,Month-to-month,81.0,371.65,Fiber optic,No,No,Electronic check
3177-LASXD,0.99,Yes,Critical Risk,1,Month-to-month,71.35,71.35,Fiber optic,No,No,Electronic check
2462-XIIJB,0.99,Yes,Critical Risk,5,Month-to-month,92.5,452.7,Fiber optic,No,No,Electronic check
8305-VHZBZ,0.99,Yes,Critical Risk,1,Month-to-month,20.2,20.2,No,No internet service,No internet service,Mailed check
9965-YOKZB,0.99,Yes,Critical Risk,9,Month-to-month,83.85,790.15,Fiber optic,No,No,Electronic check
7450-NWRTR,0.99,Yes,Critical Risk,12,Month-to-month,99.45,1200.15,Fiber optic,No,No,Electronic check
6437-UKHMV,0.99,Yes,Critical Risk,7,Month-to-month,79.7,586.05,Fiber optic,No,No,Electronic check
9985-MWVIX,0.99,Yes,Critical Risk,1,Month-to-month,70.15,70.15,Fiber optic,No,No,Mailed check
7321-PKUYW,0.99,Yes,Critical Risk,11,Month-to-month,90.15,987.95,Fiber optic,No,Yes,Electronic check
5229-PRWKT,0.99,Yes,Critical Risk,8,Month-to-month,86.55,649.65,Fiber optic,No,No,Electronic check
1618-CFHME,0.99,Yes,Critical Risk,2,Month-to-month,75.9,143.35,Fiber optic,No,No,Electronic check
6379-RXJRQ,0.99,Yes,Critical Risk,10,Month-to-month,70.1,659.65,Fiber optic,No,No,Electronic check
7503-ZGUZJ,0.99,Yes,Critical Risk,1,Month-to-month,84.65,84.65,Fiber optic,No,No,Mailed check
4614-NUVZD,0.99,Yes,Critical Risk,1,Month-to-month,81.1,81.1,Fiber optic,No,No,Electronic check
2619-WFQWU,0.99,Yes,Critical Risk,1,Month-to-month,70.15,70.15,Fiber optic,No,No,Mailed check
5959-BELXA,0.99,Yes,Critical Risk,32,Month-to-month,96.15,3019.25,Fiber optic,No,No,Credit card (automatic)
5685-IIXLY,0.99,Yes,Critical Risk,5,Month-to-month,83.6,404.2,Fiber optic,No,No,Electronic check
5095-AESKG,0.99,Yes,Critical Risk,3,Month-to-month,91.5,242.95,Fiber optic,No,No,Credit card (automatic)
7568-PODML,0.99,Yes,Critical Risk,1,Month-to-month,45.3,45.3,DSL,No,No,Mailed check
0378-NHQXU,0.99,Yes,Critical Risk,17,Month-to-month,88.25,1460.65,Fiber optic,No,No,Electronic check
3727-RJMEO,0.99,Yes,Critical Risk,6,Month-to-month,82.85,460.25,Fiber optic,No,No,Electronic check
0404-SWRVG,0.99,Yes,Critical Risk,3,Month-to-month,74.4,229.55,Fiber optic,No,No,Electronic check
4501-EQDRN,0.99,Yes,Critical Risk,1,Month-to-month,69.7,69.7,Fiber optic,No,No,Bank transfer (automatic)
7839-QRKXN,0.989,Yes,Critical Risk,1,Month-to-month,20.2,20.2,No,No internet service,No internet service,Mailed check
0151-ONTOV,0.9867,Yes,Critical Risk,1,Month-to-month,70.9,70.9,Fiber optic,No,No,Mailed check
1195-OIYEJ,0.985,Yes,Critical Risk,13,Month-to-month,91.1,1135.7,Fiber optic,No,No,Electronic check
8357-EQXFO,0.985,Yes,Critical Risk,7,Month-to-month,95.35,660.9,Fiber optic,No,No,Electronic check
0897-FEGMU,0.985,Yes,Critical Risk,11,Month-to-month,99.5,1056.95,Fiber optic,No,No,Electronic check
5293-WXJAK,0.985,Yes,Critical Risk,11,Month-to-month,104.05,1133.65,Fiber optic,No,Yes,Bank transfer (automatic)
1751-NCDLI,0.985,Yes,Critical Risk,46,Month-to-month,98.85,4564.9,Fiber optic,No,No,Electronic check
4951-UKAAQ,0.985,Yes,Critical Risk,4,Month-to-month,88.95,355.2,Fiber optic,No,No,Electronic check
0564-JJHGS,0.985,Yes,Critical Risk,9,Month-to-month,95.5,829.1,Fiber optic,No,No,Electronic check
0723-DRCLG,0.985,Yes,Critical Risk,1,Month-to-month,74.45,74.45,Fiber optic,No,No,Electronic check
3834-XUIFC,0.985,Yes,Critical Risk,7,Month-to-month,85.2,602.55,Fiber optic,No,No,Mailed check
2454-RPBRZ,0.985,Yes,Critical Risk,12,Month-to-month,98.1,1060.2,Fiber optic,No,No,Electronic check
1501-SGHBW,0.985,Yes,Critical Risk,2,Month-to-month,45.85,81,DSL,No,No,Mailed check
1724-BQUHA,0.985,Yes,Critical Risk,5,Month-to-month,89.5,477.7,Fiber optic,No,No,Electronic check
9947-OTFQU,0.985,Yes,Critical Risk,15,Month-to-month,74.4,1074.3,Fiber optic,No,No,Electronic check
5940-AHUHD,0.985,Yes,Critical Risk,1,Month-to-month,70.6,70.6,Fiber optic,No,No,Mailed check
1624-WOIWJ,0.985,Yes,Critical Risk,10,Month-to-month,84.7,832.05,Fiber optic,Yes,No,Mailed check
5567-WSELE,0.985,Yes,Critical Risk,3,Month-to-month,94.6,279.55,Fiber optic,No,No,Electronic check
1658-BYGOY,0.985,Yes,Critical Risk,18,Month-to-month,95.45,1752.55,Fiber optic,No,No,Electronic check
4826-XTSOH,0.985,Yes,Critical Risk,1,Month-to-month,86.05,86.05,Fiber optic,No,No,Electronic check
